feature	VK_170831_025	VK_170831_037	VK_170831_043	VK_170831_073	VK_170831_079	VK_170831_103	VK_170831_115	VK_170831_163	VK_170831_169	VK_170831_175	VK_170831_187	VK_170901_037	VK_170901_055	VK_170901_061	VK_170901_091	VK_170901_097	VK_170901_121	VK_170901_139	VK_170901_151	VK_170901_163	VK_170901_175
strain	daf16	daf16	daf16	daf16	N2	daf16	N2	daf16	N2	daf16	N2	N2	N2	N2	daf16	N2	daf16	daf16	N2	N2	N2
552.8688_61.8	1266736.0	4744136.0	1868975.0	4184565.0	2856913.0	3158970.0	 140435.6	2654752.0	6202646.0	1007680.0	 613035.2	1503566.0	3196636.0	3990966.0	2859225.0	3504655.0	2387439.2	1107042.0	1672231.0	1775959.0	5615789.5
552.9119_75.9	  27001.0	  27001.0	  27001.0	4352871.0	4179212.0	  91598.6	5189623.0	  27001.0	  27001.0	  27001.0	2682324.0	  27001.0	5351162.0	   4274.9	4744550.0	6146149.0	   4274.9	   4274.9	 299100.7	2107149.0	   4274.9
552.9305_68.3	 461134.6	 889465.2	3958091.0	  25133.0	  25133.0	 739659.1	4549776.0	  25133.0	  25133.0	4626673.0	  25133.0	 150438.3	      0.0	 361215.5	      0.0	      0.0	      0.0	      0.0	 137880.9	      0.0	1038194.2
553.2567_25.6	 286669.7	   2967.4	1472394.0	   2967.4	 245053.8	 522138.9	 407708.8	 217382.5	 862994.9	 443610.2	 889736.2	 176951.5	  12053.1	 268369.2	 470174.4	 403064.5	1690293.1	1612831.0	 458588.2	 275962.2	 514820.8
553.8335_70	 971639.5	1554185.0	2347013.0	4029780.0	  29346.7	  29346.7	3982734.0	 996741.3	  29346.7	 383013.8	 584140.8	  29346.7	 952571.0	      0.0	1581919.0	 176428.4	 401109.3	      0.0	3042264.0	1575191.0	      0.0
553.9001_77.5	      0.0	1471367.0	3097115.0	 365216.3	      0.0	      0.0	      0.0	 705460.7	      0.0	4841123.0	 562337.4	      0.0	2294212.0	  55874.7	  88159.6	 486458.5	  55874.7	 320857.2	  55874.7	4193503.0	  55874.7
553.9577_98.7	 4066457.0	 9208186.0	  853165.4	 7509533.0	  277854.8	  960133.8	 2912382.0	 5586635.0	  116161.2	10646380.0	 3742644.0	  531534.3	 7339860.0	   89770.1	 5860406.0	 3044175.0	 2789009.3	  626781.1	 1348730.0	 6371630.0	       0.0
557.3656_30.1	  28050.2	  28050.2	 318244.6	  28050.2	5684437.0	  28050.2	1486077.0	 283274.2	  28050.2	  28050.2	 190666.9	 558225.1	      0.0	 817397.9	      0.0	 427710.9	      0.0	 257542.5	 852152.1	3073067.0	      0.0
557.9452_27.6	 948950.9	  29403.5	  29403.5	 579536.6	 998655.3	  29403.5	  29403.5	  29403.5	 504941.3	  29403.5	  29403.5	1290597.0	1178789.0	 290831.6	      0.0	 888916.9	      0.0	 707548.2	 445412.2	 963116.9	 220262.6
558.1353_25.3	357951.0	257607.9	194678.6	293569.2	     0.0	230026.1	107477.6	423572.6	183400.6	264578.7	301020.8	 87154.4	221350.6	 83953.0	164569.5	209142.3	 42061.6	108015.6	111164.0	355024.4	 60062.8
