"","FC","log2(FC)","raw.pval","-log10(p)"
"304.1809_125.4",0.21619,-2.2096,0.0011417,2.9424
"394.2338_31.9",0.27873,-1.843,0.0011782,2.9288
"350.2062_31",0.21943,-2.1882,0.0012187,2.9141
"114.1026_97.6",2.3302,1.2205,0.001268,2.8969
"163.5948_95.7",0.088722,-3.4946,0.0012914,2.889
"245.1861_29.7",0.36895,-1.4385,0.0013175,2.8803
"310.173_29.9",0.19472,-2.3606,0.0013519,2.8691
"345.2132_39.1",0.35289,-1.5027,0.0013965,2.855
"399.1446_133.3",3.0255,1.5972,0.0013984,2.8544
"200.6186_289.7",0.27944,-1.8394,0.0014026,2.8531
"270.1923_92.9",0.30709,-1.7033,0.0014027,2.853
"359.2289_37.4",0.36872,-1.4394,0.0014088,2.8512
"180.1181_285.7",0.1287,-2.9579,0.0014099,2.8508
"638.2698_45",0.28858,-1.793,0.0014195,2.8479
"216.14_289.2",0.32537,-1.6199,0.0014301,2.8446
"190.9954_51.1",3.9237,1.9722,0.0014365,2.8427
"412.165_29.7",4.2903,2.1011,0.0014415,2.8412
"261.1235_30.5",24.014,4.5858,0.0014459,2.8399
"450.2796_31.2",0.40543,-1.3025,0.0015062,2.8221
"322.1428_97.6",0.20594,-2.2797,0.0015277,2.816
"507.2825_32",0.30427,-1.7166,0.001538,2.813
"124.0144_34.4",3.6579,1.871,0.0016769,2.7755
"179.1282_273.3",0.23308,-2.1011,0.0017503,2.7569
"344.2544_28.4",0.2938,-1.7671,0.0018069,2.7431
"307.0432_99.9",2.0608,1.0432,0.0018561,2.7314
"247.111_36.5",6.3288,2.6619,0.0018808,2.7256
"291.1662_127.1",0.27638,-1.8553,0.0018906,2.7234
"363.8584_19.5",0.089427,-3.4831,0.0019185,2.717
"145.1336_30.3",16.121,4.0108,0.0019303,2.7144
"125.0427_33.9",2.451,1.2934,0.0019375,2.7128
"380.218_34.6",0.28896,-1.7911,0.0019526,2.7094
"104.0706_43.1",2.3523,1.2341,0.0019659,2.7064
"407.2286_33.8",0.31571,-1.6633,0.0020612,2.6859
"366.2024_37",0.32524,-1.6204,0.0020818,2.6816
"322.187_89.7",0.4365,-1.1959,0.0021258,2.6725
"313.0644_131.4",0.4191,-1.2546,0.0021399,2.6696
"274.176_37.2",0.25874,-1.9504,0.0022186,2.6539
"192.1058_112.3",0.26206,-1.932,0.0022361,2.6505
"472.3131_34.3",0.35658,-1.4877,0.0022683,2.6443
"375.8326_49.7",0.094618,-3.4017,0.002315,2.6355
"203.6276_263.7",0.17745,-2.4945,0.0023241,2.6337
"319.1723_123.9",0.33789,-1.5654,0.0023926,2.6211
"124.0393_32.3",2.0183,1.0131,0.0024063,2.6187
"122.5864_102.8",3.7296,1.899,0.0025432,2.5946
"915.4578_25",0.091412,-3.4515,0.0025676,2.5905
"178.0863_21.9",2.6298,1.395,0.0025851,2.5875
"353.2237_27.6",0.21442,-2.2215,0.0026562,2.5757
"331.234_94.6",0.10772,-3.2146,0.0026915,2.57
"495.281_31.3",0.44999,-1.152,0.0026988,2.5688
"221.1214_32.7",2.0317,1.0227,0.0027499,2.5607
"228.1173_99.3",3.9656,1.9875,0.0027994,2.5529
"282.1529_34.9",0.29344,-1.7689,0.0028703,2.5421
"175.0016_42.5",2.2196,1.1503,0.0029934,2.5238
"304.1649_32.8",0.38387,-1.3813,0.0030453,2.5164
"562.3587_27.3",0.22448,-2.1553,0.0030648,2.5136
"124.5915_94.8",0.30308,-1.7222,0.0031128,2.5068
"362.2032_128.3",0.33016,-1.5988,0.0031616,2.5001
"174.1181_98.3",0.31341,-1.6739,0.0031906,2.4961
"443.3228_27.1",0.46746,-1.0971,0.0032156,2.4927
"302.1235_37.8",2.4661,1.3022,0.0032924,2.4825
"158.1051_288.4",0.31349,-1.6735,0.003366,2.4729
"249.1268_34.3",0.32076,-1.6404,0.0033859,2.4703
"561.0582_92.5",0.19119,-2.3869,0.0033992,2.4686
"298.0969_143.3",2.3715,1.2458,0.0034668,2.4601
"222.6626_94.7",0.2329,-2.1022,0.0035191,2.4536
"256.1765_113.7",0.31303,-1.6756,0.0035436,2.4506
"360.2321_20.5",0.41847,-1.2568,0.0035594,2.4486
"265.1548_32.6",0.38311,-1.3842,0.0036287,2.4402
"279.1705_30.2",0.39858,-1.3271,0.0036639,2.4361
"244.6628_85.6",0.17992,-2.4745,0.0037592,2.4249
"232.1732_29.5",0.46191,-1.1143,0.0038475,2.4148
"196.6107_124.2",0.11808,-3.0821,0.0038844,2.4107
"375.2028_33",0.23628,-2.0815,0.0039411,2.4044
"352.2205_27.8",0.21139,-2.242,0.0040472,2.3928
"318.1811_30.5",0.43949,-1.1861,0.0040643,2.391
"332.5608_284.9",2.0713,1.0505,0.0040738,2.39
"345.1444_37.1",0.2472,-2.0163,0.0041218,2.3849
"481.1365_40.1",15.291,3.9346,0.0041292,2.3841
"444.2816_35.9",0.4333,-1.2066,0.0041571,2.3812
"398.0402_46.6",2.2068,1.1419,0.0041594,2.381
"615.4089_29.9",0.16173,-2.6283,0.0041623,2.3807
"403.2551_36.1",0.38156,-1.39,0.0041839,2.3784
"828.866_81.8",0.21259,-2.2338,0.004199,2.3769
"136.0142_43.5",4.0975,2.0347,0.0042006,2.3767
"593.6633_291.4",0.027454,-5.1869,0.0042561,2.371
"186.1364_272.7",0.32132,-1.6379,0.004374,2.3591
"231.1704_32.2",0.48782,-1.0356,0.0045356,2.3434
"246.1892_30",0.41163,-1.2806,0.0045962,2.3376
"89.1073_96.6",2.0392,1.028,0.0046957,2.3283
"363.1987_127.1",0.20576,-2.281,0.004714,2.3266
"529.9196_85.1",6.9392,2.7948,0.0047454,2.3237
"150.0775_39.5",4.5058,2.1718,0.0048082,2.318
"359.2729_27.2",0.43855,-1.1892,0.0048225,2.3167
"408.2129_34",0.31119,-1.6842,0.004893,2.3104
"142.0265_116.9",3.1748,1.6666,0.0050012,2.3009
"374.2288_35.2",0.26081,-1.9389,0.005037,2.2978
"387.2602_33.2",0.44418,-1.1708,0.0051326,2.2897
"458.2973_34",0.41985,-1.252,0.0051481,2.2884
"394.1971_40.4",0.23763,-2.0732,0.0051577,2.2875
"643.4025_28.7",0.27109,-1.8832,0.0053259,2.2736
"180.0873_40.1",2.5472,1.3489,0.005375,2.2696
"294.1111_120.8",0.11865,-3.0752,0.0053899,2.2684
"396.1056_126.9",4.8902,2.2899,0.0054072,2.267
"212.1025_69.6",3.3521,1.7451,0.0054189,2.2661
"331.1972_41.1",0.20096,-2.315,0.0054818,2.2611
"345.9232_70.6",3.5206,1.8158,0.0054998,2.2597
"202.6343_286",0.29101,-1.7808,0.0055922,2.2524
"209.1319_289.4",0.30437,-1.7161,0.0056021,2.2516
"620.3653_29",0.22785,-2.1339,0.0056357,2.2491
"303.2028_98",0.24101,-2.0528,0.0056536,2.2477
"445.3019_33.8",0.45733,-1.1287,0.0058108,2.2358
"218.1577_30.4",0.428,-1.2243,0.0059475,2.2257
"346.197_40.2",0.25514,-1.9706,0.0060012,2.2218
"184.0733_132.1",2.3841,1.2535,0.0060567,2.2178
"550.3245_29.7",0.37425,-1.4179,0.0060901,2.2154
"431.2865_34.9",0.49013,-1.0288,0.0062639,2.2032
"585.3977_28.7",0.40728,-1.2959,0.0063628,2.1964
"103.5091_39.7",3.0565,1.6119,0.0063821,2.195
"231.0985_57.9",4.3906,2.1344,0.0065233,2.1855
"91.0582_67.4",2.4769,1.3085,0.0066037,2.1802
"108.5764_115.9",3.6798,1.8796,0.0066253,2.1788
"270.3972_105.5",0.010494,-6.5743,0.0066345,2.1782
"336.1917_34.3",0.29855,-1.744,0.0066716,2.1758
"253.118_42.2",0.46085,-1.1176,0.006811,2.1668
"161.1366_38.8",5.2892,2.403,0.0068137,2.1666
"673.9959_290.3",2.7085,1.4375,0.007173,2.1443
"185.1034_285",0.38482,-1.3777,0.0072349,2.1406
"373.2448_35.1",0.3795,-1.3978,0.0072513,2.1396
"416.2948_29.3",0.34929,-1.5175,0.0072561,2.1393
"195.6266_288.4",0.40843,-1.2918,0.0072842,2.1376
"435.2604_31.5",0.44612,-1.1645,0.0073369,2.1345
"281.1496_35.3",0.40507,-1.3038,0.0073675,2.1327
"238.1473_105.3",0.29714,-1.7508,0.0074429,2.1283
"478.1259_39.8",10.134,3.3411,0.0075198,2.1238
"422.0264_132.1",0.37408,-1.4186,0.0077228,2.1122
"507.1538_41.1",3.8183,1.9329,0.0077827,2.1089
"366.923_62.1",0.034246,-4.8679,0.0077951,2.1082
"294.1812_92.5",0.40554,-1.3021,0.0078179,2.1069
"212.0528_35",6.5277,2.7066,0.007938,2.1003
"220.6216_286.1",0.45882,-1.124,0.008016,2.096
"90.055_63.2",2.0305,1.0219,0.0081191,2.0905
"297.1269_33",0.36155,-1.4677,0.0081424,2.0892
"431.25_36",0.37191,-1.427,0.0081496,2.0889
"192.1111_276.6",0.39577,-1.3373,0.0082474,2.0837
"548.3438_28.3",0.39173,-1.3521,0.0083299,2.0794
"203.1391_41.9",0.44681,-1.1623,0.0085159,2.0698
"230.1501_103.9",0.22639,-2.1431,0.0085494,2.0681
"332.1921_127.5",0.43732,-1.1932,0.0086044,2.0653
"423.2238_34.7",0.45483,-1.1366,0.0087552,2.0577
"479.2962_33.2",0.39307,-1.3471,0.0087968,2.0557
"206.1216_58.2",0.24341,-2.0385,0.0088649,2.0523
"401.2759_32.3",0.49607,-1.0114,0.0088726,2.0519
"389.2393_38",0.40365,-1.3088,0.0088818,2.0515
"149.0744_30.7",3.532,1.8205,0.0090392,2.0439
"166.6183_287.7",0.3259,-1.6175,0.0090636,2.0427
"254.1556_28.7",0.49316,-1.0199,0.0091209,2.04
"181.1259_94.4",0.25094,-1.9946,0.0092204,2.0352
"377.1455_41",2.089,1.0628,0.0092558,2.0336
"187.1554_31.1",3.6451,1.866,0.0095804,2.0186
"274.1874_93.7",0.47631,-1.07,0.0096086,2.0173
"451.2551_34.9",0.36185,-1.4665,0.0098071,2.0085
"570.6404_55.6",0.40867,-1.291,0.0098333,2.0073
"168.0999_126.9",0.31216,-1.6796,0.010193,1.9917
"100.5915_95",0.34475,-1.5364,0.01023,1.9901
"329.1496_34.3",0.24329,-2.0393,0.010313,1.9866
"214.0609_251.9",0.32347,-1.6283,0.010408,1.9826
"296.1692_30.4",0.49455,-1.0158,0.010486,1.9794
"174.135_94",0.43084,-1.2148,0.010536,1.9773
"113.3901_110.4",2.8304,1.501,0.010726,1.9696
"278.6001_290.6",0.23276,-2.1031,0.010874,1.9636
"153.5569_136.1",2.7744,1.4722,0.010984,1.9592
"223.9722_75.4",4.7368,2.2439,0.011129,1.9535
"234.0012_181.2",3.5964,1.8466,0.011165,1.9522
"236.0918_31.3",5.2829,2.4013,0.011287,1.9474
"173.6079_127.1",0.19868,-2.3315,0.011295,1.9471
"427.5491_289.9",3.5401,1.8238,0.011312,1.9465
"188.1434_274.6",0.43388,-1.2046,0.011416,1.9425
"194.1213_282.6",0.49369,-1.0183,0.011473,1.9403
"326.1823_93.7",0.11498,-3.1205,0.011568,1.9367
"217.1548_27.8",0.48053,-1.0573,0.011672,1.9328
"208.6343_95.1",0.22859,-2.1292,0.011986,1.9213
"187.6292_281.7",0.38656,-1.3712,0.012128,1.9162
"242.0052_131.5",3.3061,1.7251,0.012297,1.9102
"989.8294_98.3",9.3915,3.2314,0.012402,1.9065
"551.9564_78.8",4.335,2.116,0.012457,1.9046
"234.153_40.2",0.46497,-1.1048,0.012496,1.9032
"221.0955_39.3",0.30479,-1.7141,0.012508,1.9028
"476.2772_33.7",0.38119,-1.3914,0.012522,1.9023
"415.1014_43.3",2.5222,1.3347,0.012745,1.8947
"312.1775_285.5",0.40826,-1.2924,0.012766,1.894
"235.1482_126.4",0.28081,-1.8323,0.012906,1.8892
"203.1503_90.9",2.349,1.232,0.013008,1.8858
"366.8615_84.7",0.18725,-2.417,0.013158,1.8808
"195.1514_267.3",0.29652,-1.7538,0.013288,1.8766
"359.8999_70.2",2.9453,1.5584,0.013381,1.8735
"508.156_39.6",4.5651,2.1906,0.013482,1.8703
"321.9651_71.3",2.6786,1.4215,0.013523,1.8689
"300.1297_121.9",0.38157,-1.39,0.013525,1.8689
"491.3226_27.1",0.32774,-1.6094,0.013626,1.8656
"186.0775_126.5",2.8946,1.5334,0.013667,1.8643
"359.921_70.7",3.038,1.6031,0.013749,1.8617
"124.0645_34.3",3.8878,1.959,0.013759,1.8614
"487.3125_33.5",0.3029,-1.7231,0.013885,1.8575
"182.1031_125.7",0.18494,-2.4349,0.013972,1.8548
"299.1003_135.3",2.3489,1.232,0.014029,1.853
"115.1059_95.8",2.877,1.5245,0.01406,1.852
"464.1101_46.5",3.0852,1.6254,0.014438,1.8405
"251.1733_94.5",0.20075,-2.3166,0.014517,1.8381
"216.6445_95.5",0.094835,-3.3984,0.014601,1.8356
"408.1395_119.1",2.4207,1.2754,0.015058,1.8222
"188.6313_287.7",0.34663,-1.5285,0.015094,1.8212
"676.2862_42.5",0.39841,-1.3277,0.015231,1.8173
"332.2877_25.4",0.47587,-1.0714,0.015272,1.8161
"400.5509_264",4.8917,2.2903,0.015578,1.8075
"219.0714_70.8",0.41292,-1.2761,0.015718,1.8036
"782.9599_54",0.3141,-1.6707,0.015949,1.7973
"487.2149_32.3",2.2758,1.1864,0.016174,1.7912
"377.9842_74.8",4.5558,2.1877,0.016403,1.7851
"403.9486_76.4",2.308,1.2066,0.01641,1.7849
"366.1993_34.5",0.45721,-1.1291,0.016427,1.7844
"429.1526_122.6",3.7385,1.9024,0.016445,1.784
