"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"369.9053_19.5","55774.1","55774.1","55774.1","55774.1","152059.6","405758.7","293612.1","283217.9","244794.7","286008.8","162070.4","55774.1","367622.1","293243.7","421303.1","324922.2","328372.1","337380.2","332378","265745.6","282131.2"
"369.929_70.2","1782938","47722","2318982","47722","47722","1169094","1839330","1896684","1163529.5","612703.9","47722","47722","47722","1272032","904807.9","1005000","24.6","1294777","449566.1","3077300","1507461.8"
"370.0523_102.5","15378180","12404690","6932806","14629520","1631383","11640130","18901310","12225700","7802714.5","3938711","500101.5","10520440","242937.2","24124470","5306814","17841400","2650251","14021590","6104078","32304010","1779222.5"
"370.259_22.1","431339","875465.2","661696.5","856850.1","681101.7","679814","878418.3","996164.5","1341555.6","1038409","16449.5","310983.2","8812.4","85610.2","132010.1","1400663","464048.4","549107.1","1256061","257258.9","336923.1"
"370.9947_70.9","24303.8","383042.8","24303.8","24303.8","24303.8","524146.9","1244832","6311132","24.6","24.6","24303.8","24303.8","24303.8","24303.8","24303.8","24.6","24.6","24.6","24.6","2507157","24.6"
"371.0772_221.1","905138.1","1031234","22040.2","736086.8","190181","1413353","1511489","1174292","534958.7","466870.9","22040.2","1001832","22040.2","1955914","479224.6","1394365","24.6","1214520","789293.7","2723979","24.6"
"371.1134_107","1130704","2232.1","619201.2","1964974","2232.1","446022.6","770102.7","399869.6","4436883.3","104156.2","2232.1","564038.6","2232.1","2232.1","2232.1","406621.7","9897.8","908932.6","201798.6","1022066","9897.8"
"371.2624_26.5","272074.6","255740","24.6","236601.7","24.6","22204.7","821820.8","251806.2","1808204.9","416677.9","44506.1","5155736","24.6","24.6","356740.5","252372.4","54576.8","54576.8","54576.8","54576.8","54576.8"
"371.2796_26.5","469341.1","367987.5","1847324","348461.7","589867.9","862975.8","756315.3","822341.2","3274909.5","936967.6","1314245","558537.1","1271073","805800.6","441269.7","685364.6","758464.9","586790.4","1013796","532222.8","732551.6"
"371.9084_60.5","41210","41210","581303.4","41210","41210","41210","41210","1304520","635941.5","24.6","335175","41210","41210","5391794","1073904","24.6","556779.7","1788287","5990845","24.6","1075761.3"
"371.976_78.5","2321615","1995263","1850500","2623369","61703","2208456","4121090","3923304","1501669.8","810102.1","61703","2055317","61703","2379517","1029360","2332362","24.6","2586483","967404.3","5320017","24.6"
"372.3189_20","167145","169782.2","965073.6","181520.7","777361.2","568155.9","1348609","1044095","1665486.5","1469655","210748.9","143756.1","743860.4","692232.5","210260.8","851509.7","642305.7","310935.8","343081.5","491037.7","238366.9"
"372.3716_209.9","1879189","3677351","356813.6","196334.9","842839.7","182079.4","2662021","2247753","3895983.8","1408222","592709.9","203726.1","1653330","2196215","3043364","1847204","3384821","1833668","2230157","1457588","2106003.9"
"372.9307_72.2","2043929","1487260","66078.8","714104.1","66078.8","66078.8","6104468","24.6","1341154.6","24.6","66078.8","6092640","66078.8","1980095","1366458","2670614","24.6","2113357","4336384","2122210","24.6"
"372.9767_76.5","10972960","13461650","68403","6774305","2240653","5852683","6149390","7132153","14886417.7","1985512","1742224","4222719","1316315","8596012","4989002","4751592","770872.3","4809068","3851837","5380005","1734932.8"
"373.1984_27.7","1081651","1181294","5219.3","1383428","5219.3","1180159","1280032","1408390","947616.5","10338.2","5219.3","855460.8","5219.3","5219.3","312807.8","1847627","10338.2","535425.9","838064.1","10338.2","323517.3"
"373.2448_35.1","587881.1","844269.3","26085040","4995135","2768189","99430.2","99430.2","24.6","24.6","7225505","2718070","28910090","2451428","12920490","8948043","6428253","4382035","13523160","6764790","33713030","707322.8"
"373.2951_26","11800280","5600467","12339790","5544209","8346260","11116760","10730560","12973560","13119476","9257671","9576997","8681237","13312760","15922640","16477540","6565922","16146190","13524500","20503580","17528460","14712788"
