"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"85.076_105.5","5585407","5013124","5348859","5752740","24.6","3020690","4176742","3797035","1380490","1179407","24.6","4878606","24.6","3680471","24.6","185597","185597","1984804","185597","6828248","185597"
"85.0841_109.1","9889882","13703820","15426840","13718980","10262360","10592390","14664800","8601424","6401807","8744970","5111073","14071020","6828938","6709312","6752057","16339860","3356110","12515480","7257359","17835080","6936999"
"85.6096_43.5","3634706","6764168","4639933","24.6","1550710","1682855","6404996","620338.5","1263624","1920221","1065767","5215483","857358.3","2999306","668701.5","1602681","978209.1","8517831","322957.2","4824545","394959.4"
"86.06_35.1","3607931","4502871","4419213","4702562","2483111","3911215","3262255","3021218","1411390.5","3325309","1639467","2692684","1847054","938626.9","1209736","2387138","928062.9","1518699","1795012","3665220","1715273.9"
"86.0819_44","1014096","1140126","4412343","15548","781236","170144.6","270241.1","462014","279525.9","2022096","15548","3600012","15548","1504257","1114244","2265899","275092.7","3284494","1224358","4712321","11219.9"
"86.0914_44.2","2732078","82501.9","1670319","4916328","531079.9","82501.9","507052.9","2895644","5947767.3","1273212","117314.5","2066270","82501.9","1080997","1909110","1452964","299514.2","1792774","804387.9","3432665","24.6"
"86.0964_53.4","300675700","325885100","1146020000","258807300","240396500","180817600","246141900","200093900","122756975","529683300","83010690","879372600","57712660","422810900","284103100","579746300","142548400","767761300","332603300","1162519000","45186799"
"86.1014_44.3","1094921","1030227","2739401","61430.1","602981.1","135376.7","137936.8","2099356","55385.6","861653.9","61430.1","2281992","61430.1","969698.2","796986.1","1343414","149294.6","2391403","2714833","3221921","24.6"
"86.1109_44","2560293","2772294","4796324","3686562","801669.6","2523713","3106114","777559.7","2835922.3","1828786","207504.2","3673417","950817","1561015","1053009","2318285","588361.5","3244761","1432486","4767328","290281.6"
"86.353_43.4","31243.8","31243.8","4447087","31243.8","1565154","31243.8","31243.8","24.6","24.6","2986061","2455400","4154948","31243.8","31243.8","1248903","24.6","1772161","24.6","1637115","24.6","553011.3"
"86.6651_45.5","678276.8","1587219","4936249","2839242","27416.7","238561.8","2009315","452722.9","212693.4","3483110","27416.7","1577004","27416.7","871432.9","165073.7","947420.8","24.6","2127005","1131199","2318034","2950731.2"
"87.0441_31","4382232","5257530","2596348","4743505","1319282","4638747","5545471","3580318","2295637.5","3755797","1165473","2293113","1285241","2975926","1628928","3762143","545716.4","4183441","5213722","4164618","1361635.2"
"87.0791_106.2","2049641","2079153","1649198","1965348","343285.6","1090996","1515225","1640532","2831519","673066.9","22124.7","1455614","7181095","1751142","575276.7","1551389","42125","1765622","478571.8","2972113","42125"
"87.0934_43.3","1040542","1421907","3043329","10486610","1308946","2439175","1271767","946458.2","934751.2","1587747","732063.2","2718319","689707.2","1384500","1241542","2016018","934765.8","3336289","1523085","4058623","471634.1"
"87.0998_41.7","18140210","19456330","74817850","15709290","14913910","10933850","14599600","12185770","7661764","35468230","5251668","56394510","3368760","26706000","17785390","36833830","8959260","49485760","20969340","72051640","2829919"
"87.1583_110.9","1350718","1324769","1276953","1229496","24.6","950458","905895.6","2606066","423884.6","1893118","24.6","1256359","24.6","791326.2","422389.7","692547.1","43936","665961.6","683561.6","1293437","43936"
"87.4218_44.4","231456.2","7399386","3225870","53220.8","266564.8","2257874","1934410","2386248","2285235.5","538762.1","53220.8","2304355","6598013","53220.8","419887.9","24.6","101145.4","6070408","19019.8","24.6","24.6"
"87.8474_35.1","697511.3","620213.3","3532.8","752459","3532.8","805996","682193.6","290185.3","153651.2","17624.4","3532.8","291681.1","3532.8","384505.1","3532.8","2862029","17624.4","17624.4","17624.4","529549.9","17624.4"
"88.0216_176.6","8248180","20968550","24175400","30469930","2964157","15804800","32442520","17251080","5970278.6","4307761","836592.3","29489480","336909.4","26533680","4898700","37329570","162037.5","21873540","5649315","41486330","546547.6"
"88.0391_86","4723847","4625724","2454178","3218396","1835660","1857669","2254704","2306108","4900831.8","1695255","224981.5","2243198","464034","3793748","1477023","3739631","1404395","2578590","2419991","3962536","1765150.2"
"88.0631_102.2","13388080","12740200","6993271","13765210","3081445","8474014","10559710","9371702","3425145.5","3599276","711484.1","11744180","508990.4","9913213","2189762","9659987","1140338","8053102","3798030","16707960","993294.9"
"88.5648_105.7","848973.8","856998.7","1621188","1140340","4055122","947431.8","630251","1233469","2984292.4","403699.2","68760.5","1098604","68760.5","1561478","601264.3","1151964","3097196","1300214","2922562","533851.4","24.6"
"89.0382_175","10800120","18931210","21572960","25388930","4040008","16103340","32158450","16518690","4413042","6401081","24.6","26113090","24.6","29954810","2685132","27175190","1559219","18831650","6459035","46394990","697192.7"
"89.0727_36.3","3994715","3920777","2547675","4374710","3166656","5783203","3118735","2940362","1435006","3888492","2032986","3989295","2259722","2328381","2828124","2376584","1965129","5280118","1376270","2039756","1986464"
"89.1073_96.6","19608430","25269060","13716030","28415700","5429212","14079590","33879780","15147220","11533476.8","6189134","1686616","8216024","1348131","16683380","3287484","22923980","1244038","15170320","3137726","27192060","981290.6"
"89.1073_291.8","2870501","5099322","2347231","4569012","4341.9","2569754","5609085","3571552","1498026","950401.3","4341.9","1105603","4341.9","3224096","748584.9","4416716","39016.4","3294440","637096.6","6719545","30529.6"
"90.0496_72.2","1115809","1793701","1368044","2296082","24.6","1420220","2713615","1423525","1688976.4","111285.8","24.6","1012245","24.6","1140814","24.6","946751.4","111285.8","1351094","111285.8","3366832","111285.8"
"90.055_63.2","511924400","825391700","445914500","1056646000","90827450","753773900","1164844000","635016800","419126336","179296800","25199540","454615800","19090090","356422200","95142960","524366200","42276360","462189800","126507600","1189733000","25320613"
"90.0705_71.1","2039407","3715079","1758115","4476237","11287.8","3076211","5131966","2712856","1244714.3","482005.9","11287.8","1447488","11287.8","1002833","425932.8","1844037","21760.2","1609917","301324.7","4811732","21760.2"
"90.1107_96.9","566577.5","811248.6","630812.9","912783.3","2504112","772239.6","690033.1","1287521","50784.4","34405.4","18284","214449.5","18284","555215.6","18284","820548.7","34405.4","1279472","34405.4","3715166","34405.4"
"90.5204_241.1","3296080","2152768","2643331","1204609","4638833","7137123","5966549","5705017","5579399","3713226","3508513","5693186","3712581","6151279","4102694","3072841","4136881","7364360","4424513","5975237","1317417"
"90.5314_248.2","3953608","4678741","4691424","2984347","4789804","5605225","3602548","2246170","4088860","6157667","4623104","1585159","2838011","4784484","4849384","4789499","7044190","4615736","4617996","1457093","4665622"
"91.052_70.7","1732691","2107860","1003579","2832828","42163.5","2006216","3568456","2199420","1042731.4","27464.2","42163.5","860655.3","42163.5","3472947","148326.9","5083291","24.6","1109315","19396.6","4077734","24.6"
"91.0582_67.4","20274840","30774280","16852580","37402430","3837941","27304930","46013380","23500210","14119076.1","6078553","295926.8","17013010","166758","12985540","3327002","17883800","2155242","16320160","3952063","39882790","2771578.4"
"91.0947_20.6","5774768","216738","253094.9","163721.5","4329099","13714100","1728088","3229559","313600","2911402","145629.2","158104.6","24.6","4944065","1070082","9625119","1089390","19721870","306223.8","249654.4","313503.2"
"91.528_243.9","1889163","2602793","3345037","3370142","1140012","3810323","3499070","3721701","1703780","2426896","3636644","168769.4","1701287","3823806","3249727","2641749","3886849","3423666","1103621","5091594","922989.1"
"92.0286_43.5","1841869","6884904","5274202","1933297","891238.5","856560.6","4018293","688146.6","376094.4","5877597","1021330","6110632","963690","4075952","776642.5","3788276","731778.3","3879810","594425.2","2001470","676084.7"
"92.0495_29.6","500291.8","947684.6","827454.4","1091591","590958.8","846768","1473039","2397399","1186379.3","600349.7","36177.5","468222.6","36177.5","664585.8","36177.5","1443498","607540.6","2479350","1472590","1998614","24.6"
"92.0592_71.5","1996132","2921980","1942038","3949230","41489.7","2832973","4867655","2409779","2061678.8","891166.9","41489.7","1603642","41489.7","1055946","41489.7","1994181","24.6","1505982","3243152","4417761","24.6"
"92.3122_105.6","10817","10817","10817","10817","10817","10817","10817","24.6","24.6","24.6","10817","10817","10817","10817","10817","24.6","24.6","24.6","24.6","24.6","24.6"
"92.4652_62.5","1079391","1491198","24.6","505632","24.6","4423152","2086845","750385.7","766994.1","123835.2","24.6","24.6","24.6","2022755","24.6","678248.2","123835.2","658518.9","123835.2","1135852","123835.2"
"92.5141_27.3","954875.2","349252","29119.1","638224.8","29119.1","541929.3","549227.5","439110.8","24.6","989661.8","445818.7","29119.1","580339.8","694458","913298.6","628757","523860","3383203","766440.7","538015.2","519268.4"
"92.5223_256.5","43381830","36876730","22379270","38889180","35953160","26938990","51037390","56569410","57153501","47707540","50694930","47043110","23798840","42888810","48024340","38759670","67426230","54583160","47062870","54745090","46337732"
"93.0447_97.3","11456340","13460530","8129724","17238300","1485383","9470133","16390790","11282160","5047403","3318734","296342.8","9792943","812657.7","9568896","1841025","10215430","1356434","8213376","3451050","17322930","2332287.1"
"93.0447_33.8","232371.4","1102310","2635855","869442.2","409636.8","926481.1","2218714","1155598","24.6","2466494","547003.4","669827","576458.1","227269.2","201095.3","1407178","955339.5","764900.5","390336.3","989517.6","540139.1"
"93.0699_30.3","2103610","3936381","5426711","3577621","1993681","3007607","3882719","1715367","4816980.4","3031417","1709667","5230297","968072.5","3834066","2092686","4103207","1505368","4538823","1448710","7310257","1064139.6"
"94.5023_285.2","51967.9","51967.9","51967.9","51967.9","51967.9","51967.9","350294.3","1469289","439561.6","24.6","51967.9","51967.9","51967.9","51967.9","338492.5","195588.5","553100.4","382424","429273.1","160350.7","458473.9"
"94.9295_45.4","6203170","24492.7","5324059","2513950","3834738","4656950","4582618","2058911","3997105.7","6669274","2934545","1401961","24492.7","11917080","4719267","8199548","26932.3","6782993","4791379","8486486","1061563.7"
"95.0604_103.4","22902690","25739230","12010670","24493970","5549547","19301690","25495010","20011170","10637291","8808772","2006087","15300480","1942252","20397370","3581135","19894860","2431137","17952670","6593602","32221670","1561171"
"95.5229_39.6","67454.8","1114861","640427.5","1370383","630303.7","1117931","1108773","672873.7","1139022.7","757240","220294.5","2257267","1959491","1375926","975755.4","700814.7","462405.7","1251867","751535.9","1182006","24.6"
"95.5229_253.8","2159456","2363838","3710248","1989436","1304450","24.6","2473773","1208664","1450656.7","559534","771126","1975851","1863665","488909.9","2334091","643616.7","943495.8","1462186","1247312","2638388","235442.7"
"95.5455_264.6","4675743","3545568","5563159","113202.1","113202.1","2399138","4337003","2670391","2248014.7","7350997","7845490","113202.1","8763350","3918779","2379634","24.6","24.6","24.6","5044825","24.6","1043742.8"
"96.0637_103","654896.9","659599.3","2377648","823482","6029236","433961.6","720003.1","496398.9","1322306.5","2066705","33551.8","510020.3","33551.8","490451","1787213","997789.8","24.6","403694","2993844","1069434","24.6"
"96.0784_63","3080152","4142674","2652929","3280617","1823303","3428808","3660477","2185299","1001957.6","5132217","1444539","1878461","1153131","2148198","545314.8","1464731","4257018","1774495","1070182","2982582","131365.2"
"96.3057_49.4","1580775","1786396","5959198","2068258","1168.2","1329372","2495172","1743650","2168821.9","34309.8","1168.2","1569032","1168.2","1210280","1168.2","1820987","34309.8","989102","1441444","2490461","34309.8"
"96.4361_27.1","1898776","2808270","5056375","414733.2","2084995","1869638","639286.5","697602.8","24.6","1647510","898826.9","275340.5","726354.7","973905.7","908614.5","1129494","4089838","567753","368995.5","598468.4","910397.5"
"96.7264_102.9","24.6","24.6","24.6","24.6","24.6","24.6","24.6","59703.7","59703.7","59703.7","24.6","24.6","1091197","24.6","4226833","59703.7","59703.7","59703.7","59703.7","59703.7","59703.7"
"96.9719_29.8","445343.9","101463.6","3826765","401980.2","2044983","316423.3","101463.6","2486988","1826790.5","12735.1","3510214","1832321","3904943","1699382","101463.6","1790248","24.6","2758086","1681789","2419388","24.6"
"97.0284_114.9","1522016","155284.2","512743.3","670489.2","24.6","879873.4","11615.6","1760474","638663.9","471522.7","3995.5","1010836","24.6","2851884","546852.6","1037152","65953.4","304742.5","569638.5","4950874","140734"
"97.1012_25.3","1223903","560673","1958977","599210.7","794438.8","1309745","1573276","1777346","479463.4","891667.4","1061014","509345.1","1138906","1341711","1301052","801003.3","1123066","1330851","1432183","1795012","958733.3"
"97.1926_49.4","1102077","1763828","729675.4","1578679","2526982","1488590","1796307","1769363","1279042.1","229999.6","63261.9","1351012","3148858","1337670","718009.7","1794982","361314.2","1492005","1244708","1610639","7624483.6"
"97.9737_227.7","24.6","24.6","783105.1","24.6","24.6","24.6","24.6","188011.7","671634.2","188011.7","24.6","24.6","24.6","24.6","240232.4","188011.7","188011.7","188011.7","188011.7","188011.7","188011.7"
"98.0089_260.8","1052018","24.6","1581270","24.6","24.6","24.6","24.6","183368.6","646758","183368.6","24.6","24.6","24.6","24.6","134421.5","183368.6","183368.6","183368.6","183368.6","183368.6","183368.6"
"98.06_88.8","4259504","11349090","6524742","11383910","1808765","7308048","13227840","1787546","4672450.6","2468368","24.6","2866057","183695.1","3565602","1692298","5656733","1961788","7495724","3518441","19833100","369579.5"
"98.0964_285","917329.4","1706988","1883745","899187.6","442046","1851120","1359230","2057617","1716806.4","896378.1","874639.7","1510025","265356.5","941137.9","794442.5","1807556","1010584","1306198","1488156","2193396","697547.2"
"98.5152_279.4","1962531","167442","2407756","2854924","718022.4","8519022","2171659","1115796","2269283.1","1826710","3714498","1192379","3395697","2337914","1571328","3350669","4931282","2543678","38958.3","1888864","1538016.9"
"98.5181_193.7","4181420","6865897","3797586","6659325","4207398","6570636","10428310","6455560","2001136","3332964","2113898","8401928","1953580","4544082","2714711","7078388","1866390","7272952","4517673","9648952","2264500"
"98.6794_45.9","275864.7","24.6","732694.9","24.6","24.6","24.6","24.6","141085.8","2479613.4","266054.1","24.6","24.6","24.6","551952.8","523142.9","29440.1","29440.1","4506716","309109","510868.3","29440.1"
"98.9775_255.5","18258630","10198940","8645046","18035910","43549290","20672920","25837820","9278669","19119261.7","28763530","3968463","5994706","9509574","7767351","2298968","16575100","23115820","17686540","103952.4","21562560","17465272.8"
"99.0804_24.6","3583054","4441963","688010.4","3962414","1814934","3062961","3307744","954458.8","885324.2","3016429","1102546","3922701","743034.9","4048072","2567533","2972628","463411.2","3105743","3240672","3242598","1464286.4"
"99.0917_105","3511862","2180362","622410.6","24.6","1813770","2143.6","24.6","1637411","1023988.7","81459.7","1358102","24.6","24.6","24.6","24.6","81459.7","81459.7","678907.1","81459.7","81459.7","1230102"
"99.5247_240.5","1146465","77056.4","77056.4","77056.4","77056.4","77056.4","77056.4","1742419","136168.3","24.6","77056.4","77056.4","77056.4","1198709","854552.8","24.6","2020020","24.6","2578832","24.6","24.6"
"99.5374_231.3","967924.5","1373620","124660.6","124660.6","124660.6","124660.6","124660.6","24.6","1118928.4","24.6","124660.6","124660.6","124660.6","852113.4","1069236","24.6","1708122","1894926","2597174","24.6","1445086.6"
"100.0869_105.5","645378.6","540939.8","534368.4","386776.9","6968860","347212.9","369283","603951.4","433919.7","24.6","19897.2","518219.5","19897.2","525350","19897.2","1800426","24.6","526917.9","165653.6","1459840","24.6"
"100.2573_38.4","4029855","1027029","20883.1","20883.1","20883.1","1064966","20883.1","1407957","576914.1","3815364","20883.1","1821670","20883.1","860861.1","990840","760585.9","24.6","2080163","408651.5","24.6","24.6"
"100.5789_103.1","146031.8","2255276","1561528","329812.9","2082943","186822.9","206265.4","6509273","174196.2","401464.5","24.6","1820187","24.6","756532.7","591239.9","676011.4","261525.1","836581.5","365350.7","1924609","65611.2"
"100.5915_95","1000506","1633551","4134773","1874519","1445477","602594.2","851761","2353476","1599739.1","1444308","1401313","6083468","7530343","1662453","1465651","2784213","2582222","3590434","1496741","6334829","4050425.8"
"100.9807_133.4","8289688","3140797","4045090","3511185","102266.4","8085464","13943040","6965422","9132028.9","24.6","7186454","102266.4","2423223","11200920","6885584","5996360","1817752","9259600","24.6","7183452","226215.9"
"101.071_88.3","3246309","2015673","365781.6","937198","24.6","2048441","2411416","823632.4","4444870.5","478861.3","24.6","800642.8","4844.5","1982026","1363276","675010.4","197000.1","938935.1","953279.2","3615383","879061"
"101.1073_108.6","1129325","1898293","2619707","1644186","717537.2","1437068","1861076","1502450","631604.5","912123.8","32207.8","1849203","1579.6","1275697","303522.9","1607210","72723.2","1740216","376873.8","2301221","56272"
"101.1991_38.5","1855391","753511","821774.7","477955.2","24543.4","1471711","24543.4","1456998","2458723.8","1465633","24543.4","721567.3","24543.4","465963.3","690224","1876539","24.6","1401115","1099679","24.6","24.6"
"102.155_39.4","3672700","4134042","2387115","2816762","16054.3","7239978","3337696","5079292","6701673.1","1060836","16054.3","3127988","16054.3","2737527","2620554","3804485","3960.2","3878688","4044277","1616181","3960.2"
"102.5707_117.4","698546.9","1366370","1636108","954792.2","1066695","41612.9","4032606","2838641","1751822.7","1567188","41612.9","2009305","41612.9","1075504","1410066","1945153","24.6","2051252","1882439","3032956","24.6"
"103.0318_262.3","8410896","10127210","7184294","6937848","6004855","5630912","6016845","9134249","728314.4","3902314","6808491","7272020","4759544","8039168","5554988","6428516","3156843","7174324","6621355","7861076","1303854.2"
"103.0372_237.1","4364855","3336002","2298513","4268126","3195226","1806878","3888760","4711013","3343370","3263063","2192778","2637279","1887396","2877921","3910130","3243355","1905810","2676241","3603742","2471891","3076197"
"103.0542_41.9","73124550","91167050","118879200","82298780","34594660","62741980","83944090","68916150","42993015","54614390","12602040","124497900","9839597","86923490","48782220","101818400","22741070","121151500","55529960","184791800","10116382"
"103.0758_23.7","878457.3","669497.6","1110533","5230076","7866140","591936.3","422630.2","1975856","1109756.1","4011482","1481281","508563.7","3128826","455062.3","1864911","2632871","1954530","2310722","16620.5","2221993","2783685.6"
"103.1232_34.4","7500096","12484400","77404070","7897413","3106145","8021819","10146840","9677794","9009568.7","57126250","398969.3","11214450","519773.3","8879322","4989934","8318420","24.6","7081374","5138049","8822081","24.6"
"103.5091_39.7","3118551","2625836","1377168","2111483","766140","1719784","1318697","1010089","678110.2","418559.4","14110.6","14110.6","14110.6","637187.1","284192.6","24.6","1169805","1256649","522836","2127676","24.6"
"103.5261_238.8","793852.4","127083.1","1139831","1538638","2101094","127083.1","127083.1","2831007","1120006.9","535586.9","2272321","618261.5","627843.7","906324.6","2945345","24.6","1613202","605638","1433451","675172.2","2530414.4"
"103.5322_254.4","3263630","24.6","2117853","1196078","1308593","24.6","24.6","1250707","936881.6","1509444","1877757","24.6","1174961","2379687","63940.8","438986.1","1104221","503221.6","838060.2","1269400","531933.4"
"103.8235_40.1","4319798","4530311","2036608","5152711","1022791","3808879","4910008","3085454","2790855.9","965776","25181.3","3182669","25181.3","4390495","1671968","3667928","868810.4","2398597","1644328","5154863","3113054.1"
"104.0528_48.9","690884.8","933501.2","2453091","54651.9","401764.3","54651.9","54651.9","2771224","24.6","2150869","54651.9","2597464","54651.9","974959.8","614548.4","1193704","24.6","2491089","851594.3","2482688","24.6"
"104.0575_44.7","5752228","6754824","9067442","6874075","2235214","4807288","7702200","5070079","3092705.6","4321365","1316860","10625940","395203.7","6725074","4095478","7964189","1714285","9658955","4134824","15905300","565144.3"
"104.0706_43.1","32894910","41742980","31978830","26703170","5086447","24964720","32521580","17317900","7156174","12217380","1205438","16152330","1127419","14645150","4912927","16592110","2440520","15184260","7222109","42560010","1409240"
"104.0876_41.6","71238830","92694180","44419100","107214800","20727600","69352560","99046870","73449280","50035913","24797360","7226145","68783590","4793206","61557390","30355350","80705690","12136990","60242620","34787350","102364600","6202713"
"104.0981_39.5","4418149","9670063","24.6","1519669","1723513","6675192","5159890","6407873","3115400.6","3074333","457422.2","10533480","949031.4","4707092","4329229","5354239","1510448","7915409","2868445","8288771","935270.3"
"104.1002_41.4","43418500","32736580","22311520","46471110","9094351","35249000","51409110","30385460","25357504","14814210","4193074","33946050","3307874","30962670","13893390","42797710","7196081","30953250","13200590","47957600","4305195"
"104.1069_42.4","13323580000","16978750000","8687988000","18353100000","4251347000","13296940000","18182610000","13492630000","9882665541","5211618000","1863677000","13369950000","1367414000","12449170000","6000823000","14590730000","2568959000","10830780000","7117536000","18762800000","1610621892"
"104.1136_41.7","24700180","56484730","24301750","54992590","9337534","34291580","44309490","34953140","30707276","13529810","3648807","35011950","2619005","30131200","12409180","37583710","6429069","27781480","20027670","48432330","2840793"
"104.1188_39.2","7561397","5067369","9897661","10661860","1372061","5699131","7563078","6475619","3540364.5","896385.3","74925.6","4015192","74925.6","6350473","2458468","8932079","207730.4","814524.2","5151100","9071173","24.6"
"104.1262_41.5","71705580","91867970","43997030","102764100","19689490","67873090","96627840","75251110","49604870","23472390","7245911","67189480","4802140","61677510","29283980","77657740","11921730","58273140","35393340","98789560","6391436"
"104.3915_40.2","3731108","4304766","3664247","5029072","923184.6","3529471","4936482","3937830","3705708.3","1278734","4447392","2924010","34335.5","3752252","1641205","4358099","1858870","3723729","2041007","5686131","828925.6"
"105.0909_41.1","1870042","107403","107403","3496464","1358516","107403","2351066","24.6","2472912","24.6","2725639","107403","3408110","1741026","107403","2739384","3123011","3983219","855353","1847261","2256838"
"105.1104_42.5","744147200","945481800","467804400","1033063000","161951400","717468400","1017672000","758677500","513274376","245596200","68074690","736389300","47733390","694899300","265283500","818457800","95403790","578238200","326370100","1064594000","61428607"
"105.1174_41.9","1923710","187279.7","187279.7","2885252","2639676","187279.7","2910950","24.6","3028576.8","24.6","4411494","187279.7","9062851","2092581","187279.7","2373512","3576991","2495585","2773710","1311190","3210065.8"
"105.1304_42.3","1983988","65425.1","65425.1","3035786","1117502","65425.1","3306971","24.6","2976424.2","24.6","1798388","65425.1","3137167","1972937","65425.1","1542312","1775438","3818163","24.6","1475295","24.6"
"106.0498_88.6","50648960","59241130","15127420","35495570","5387127","23472620","31885010","34157700","45195739","21853790","24.6","34585480","24.6","30690920","12728010","35506720","15417780","39466980","24058240","50951570","9563103"
"106.1106_41.6","35804720","44220430","30865920","45573320","20339590","38750660","46848540","39198960","26797845","21280400","19362800","35789090","18792520","32408660","23151700","40562300","17783570","34139970","23998310","43462990","11989139"
"106.1144_41.4","16288840","18863230","14515980","20780270","7763133","17221410","20514020","14723720","12653728","11124260","2458694","16111200","1092010","13398020","14511330","16116780","4633518","14133070","13104110","19823060","1577336"
"106.9858_196.6","15265.5","4902554","15265.5","15265.5","15265.5","15265.5","902357.9","1066678","24.6","24.6","15265.5","15265.5","15265.5","15265.5","15265.5","683620.7","24.6","1026162","24.6","1507772","24.6"
"107.0491_39.3","6468445","7054618","9688316","6783835","3570551","5366779","6795546","5617313","4444447","4537561","2191965","10027890","1650140","7220278","4325556","8296526","1922129","10179900","4702560","14388160","1672664"
"107.0653_152.4","451102.7","1019498","1036841","2033740","161578.4","1546133","2965325","1276760","390981.3","76677.6","24.6","1352998","26020.7","1187509","47466.9","2348220","69781.6","1540155","609050.4","2475391","52924.4"
"107.1416_39.6","3115799","62107.1","2328455","62107.1","1505850","2234669","62107.1","1927882","2939507.6","3358144","62107.1","1273156","62107.1","62107.1","5100827","907806.7","469941.3","1673292","4426662","24.6","24.6"
"107.5731_44.9","226477.4","48120.9","1171915","48120.9","3210634","48120.9","48120.9","24.6","1441292.7","541935.9","48120.9","48120.9","48120.9","436221","283471.8","24.6","4753933","1066421","409571.5","1632882","24.6"
"107.5993_93.8","1232974","1629272","6712495","1252407","1606530","1765215","2229791","4944239","1368882.9","3305390","3163515","9642569","1753332","3630387","3202177","3989269","1291600","5978009","2682760","11053040","512652.2"
"108.0451_75.4","209013.7","167782.1","772292.9","1627868","1100787","690499.7","186736.8","292944.5","24.6","4899904","1930363","5484259","178103.7","179435.8","185514.6","24.6","282590.7","24.6","1236321","24.6","24.6"
"108.0888_27.4","741265.9","567127","2119420","347393.1","573267.5","649999","617011.5","365493.1","802578.5","5539530","831385.7","741886.7","651238","761118.5","512665.2","273430.9","5684656","45196.8","498748.7","605917.3","573866.4"
"108.1824_38.9","23896.5","23896.5","3539595","23896.5","23896.5","23896.5","23896.5","24.6","722335","810218.5","23896.5","3824797","23896.5","23896.5","631448.7","24.6","24.6","1585362","1021554","24.6","24.6"
"108.5707_128.6","1207470","1964897","1947311","967117.8","753399.5","768625.2","511140.4","1052860","742016.4","1221931","224362.8","2276237","2097122","823327.9","622443.3","1287317","694475.2","1577797","1428514","3452409","24.6"
"108.5764_115.9","1325482","732081.1","745481.6","741668.5","2813720","1183594","2804067","3769893","2295287.6","742544.4","34532.3","814954.8","34532.3","463057","1027618","754313.5","24.6","1186143","354309.2","2691678","24.6"
"109.0284_226.1","911739.1","1774489","2155215","1813825","4043545","1682238","3102731","1551984","2084344.9","1373198","24.6","1499636","24.6","1980842","2219539","2148255","84191.9","1914560","1655133","5022019","68881"
"109.0284_126.1","3564126","3631435","2599141","7298410","1358485","4157057","5514927","2856143","433564.8","2892219","26949.3","3615846","26949.3","3431657","744458.9","5624748","904209.6","3063645","1230985","8165404","23913.1"
"109.5786_105.1","945243.4","1409745","4916824","1701898","1413888","1080393","579574.6","487293.6","1490436.8","1846920","386413.4","6596260","1380262","2442475","1961577","2093638","867546.5","3639960","1095978","9680588","3186097.1"
"110.0349_42.9","3243167","2535593","16693800","4819615","2296341","2519184","3729714","3140688","1399518.2","12268980","45462.3","3208120","45462.3","1292663","827449.3","1747315","82769.3","2332649","1086930","3621043","121208.4"
"110.0502_105.2","1338099","900888.5","510016.9","1015192","24.6","2131016","695777.5","678784.6","401455.2","134081.9","24.6","712945.2","24.6","252876.2","24.6","485977.3","134081.9","134081.9","134081.9","786734.2","134081.9"
"110.0713_90.6","322411700","386076200","176784800","457031000","78998620","276124000","494440800","311098800","127605468","117745700","18421380","264960400","14512150","244313700","73781690","305196100","41998360","244535900","119469000","454930100","35125701"
"110.0713_290.5","5732200","10370810","14871910","6358805","1179085","4316509","6950971","4839450","3104303.8","5940274","242313.2","7497260","543259.1","10461490","6707212","7895746","1893274","10288580","4917975","33382130","1284322.6"
"110.0922_104.7","610016.1","997563.1","468950.1","947196.2","24.6","158227.3","448594.9","106565.9","192458","106565.9","24.6","277666.8","24.6","229335.3","24.6","401457.2","106565.9","106565.9","106565.9","1409570","106565.9"
"111.0178_242.7","24.6","24.6","24.6","24.6","795776.8","24.6","24.6","146559.9","323997.6","146559.9","935762.9","24.6","24.6","24.6","24.6","146559.9","146559.9","366322.7","146559.9","146559.9","146559.9"
"111.0552_104.4","2817901","2028082","3918142","2283415","1388083","1012646","1959304","2329162","2883944.5","3557470","175089.5","1885895","24.6","1785632","819355.2","1944988","208411.2","772661.1","1534572","2455732","189796"
"111.0683_106.4","2381621","2243389","1370120","2939221","386380.5","1563263","2332858","2030198","984572.2","742811.3","24.6","1184996","24.6","1658955","6462713","1475483","166965.4","990387.9","585967.8","2584072","166965.4"
"111.0746_98","15961720","18164300","11182630","22675120","2965434","12617270","21093130","14825750","7162282.8","4628700","544689.9","12110230","58072.4","12571970","2572936","14230150","2044818","11004180","5078202","24599190","1615870.3"
"111.5801_70.6","5757532","5723575","2076848","1273960","4779149","5767018","5830520","4832032","3528782","4983564","4733527","4950026","1928832","4439530","4993382","5540228","2672894","3897551","2826520","4529768","3323532"
"112.0128_136","6462676","9847359","240233.7","7995600","240233.7","7607626","7582803","5947541","4575005.2","7839545","7602488","8600685","240233.7","7527499","240233.7","6225726","7455874","7799194","4751752","6022606","24.6"
"112.028_39.2","19676.2","5366746","3365136","4499119","2740092","4280144","6443963","1780324","2848041.5","2333983","487762.2","1933312","19676.2","1311891","2613527","1025685","1653198","5166555","1916625","7570599","24.6"
