"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"631.3988_40.5"," 0.3663241","-1.6615943"," 0.8848748","-1.6389228"," 0.8887764","-1.5355631"," 0.9173645","-0.3710778","-0.2254065"," 1.1440677","-0.5925811"," 0.8880141"," 0.7564802","-2.1263749"," 0.1734900","-0.5188332"," 0.8374216"," 0.5044527"," 0.2476522"," 0.6646289"," 0.3968065"
"632.6852_73.4"," 0.1501734","-1.1598431"," 0.5967473"," 0.1229034"," 0.6738786","-0.4502170"," 0.6194597"," 0.2894738"," 0.5878285","-1.2702123"," 0.4353244"," 1.3152243"," 1.1288990","-0.7515191","-0.1237716"," 0.1747814","-0.6157291","-2.6259875","-0.1085842","-0.8314533"," 1.8426238"
"632.7835_63.7","-1.406490428"," 0.958746106","-1.602165822"," 1.170326921"," 0.127415926","-0.481821787"," 1.624744082","-0.045906823","-0.207263310"," 0.123978214"," 0.811946998"," 0.089494640","-0.142529806","-1.582582816","-0.093265361"," 0.003848679"," 0.520554382","-0.339217316","-0.595729678","-1.156343216"," 2.222260415"
"632.9738_107.7","-1.9991480"," 0.1579534","-0.5176658"," 0.1490868","-0.8109770"," 0.9213561"," 1.1673609"," 0.6401643"," 0.1704199"," 0.5357304","-0.1629610"," 0.2269401","-0.1795176"," 0.5655262"," 0.0605420"," 0.9641128","-0.1187698"," 0.3446197"," 0.7510243"," 0.2885093","-3.1543071"
"633.0291_58.6"," 0.39068238"," 0.40728130","-0.34386104"," 0.58649738"," 0.23933545"," 0.52767329","-0.91564401","-0.15539750"," 0.22002101"," 0.34218435"," 0.22559717"," 0.41170872"," 0.94417112","-1.43882366"," 0.05383582"," 0.50877698"," 0.70030265"," 0.50690679","-0.31889844","-3.61178752"," 0.71943776"
"633.3969_32.7","-1.5862909","-1.5862909"," 0.6485614","-1.5862909","-1.5572714"," 1.0341633","-1.5862909"," 0.5084058"," 0.5689188"," 0.5747090","-0.7252981"," 0.7315496","-0.7102022"," 0.5488833"," 0.5320773"," 0.6068939"," 0.7352502"," 0.7121379"," 0.6549043"," 0.6549043"," 0.8265763"
"635.3394_42.8"," 0.14808352"," 0.24163973"," 1.76688294"," 0.27951652"," 0.64048842"," 0.29883199"," 0.21586384","-0.66836861","-0.61553158"," 1.85559047"," 0.90494026"," 0.08794458"," 0.91603174","-0.12429796"," 0.35101985","-0.81859694","-0.25633700","-1.94148333","-1.89067085","-1.42113780"," 0.02959021"
"636.569_54.5"," 0.095734508"," 0.254213573","-0.005640673"," 0.287784055"," 0.451004282"," 0.261563461"," 0.192401583"," 0.798734880"," 0.841783749"," 0.546588726"," 0.664027327"," 0.073807663"," 0.658798219","-0.193536520"," 0.131924916","-1.542328025"," 1.120018509"," 0.887218509","-2.706099919","-2.196406177","-0.621592647"
"636.9518_176.2","-0.19274729","-0.05615070","-0.25887092","-0.02182423"," 0.44057758"," 0.01832637"," 1.07143613"," 0.96459480","-1.31435518","-1.15696100"," 0.78094510","-0.28080838"," 0.79213851"," 1.04913455"," 0.03306496"," 1.13368672","-0.83486853"," 0.64581201","-3.01653077"," 0.65658632","-0.45318605"
"636.9972_116.1"," 0.4383757"," 0.8961439"," 0.1695766"," 1.1255432","-1.6044997"," 0.4589462"," 0.6663475"," 0.2164551","-1.9923741"," 0.9051464","-1.4838427"," 0.9247286","-1.4935293"," 0.8515013","-0.3246203"," 0.6979086","-1.2995009"," 0.5327479"," 0.2007188"," 0.7712550","-0.6570276"
"637.431_35.8","-0.1402269","-0.1003053","-0.4765876"," 0.8268353"," 0.2268812"," 0.5380381","-0.3180577"," 0.4129300"," 0.8574937"," 0.7276661"," 0.9188201"," 0.2980006"," 0.5240356","-0.7016239"," 0.1101846"," 0.2406880","-1.0584155","-2.7068934"," 0.7890586","-2.1978705"," 1.2293489"
"637.6319_111.9"," 0.08888592"," 0.28138810"," 0.81268745"," 0.60497575","-0.73276602","-1.46256798"," 0.28413906"," 0.16767471"," 0.88513132"," 0.15074153","-0.18662918"," 0.04357143"," 1.44092852","-2.14301548"," 0.91004102"," 0.50103539","-2.03603522"," 0.55486299"," 0.72151451"," 0.59203409","-1.47859790"
"637.861_75.7"," 0.816816004"," 0.760066762"," 0.023152659"," 0.693005682","-2.281622018"," 0.883736515"," 0.823103896"," 0.405442572"," 0.586034939","-0.004708942","-1.385320547"," 0.663065986","-1.369057348"," 0.700157145","-2.312885346"," 0.859613797"," 0.173277769","-0.377853940","-0.106175406"," 0.174510002"," 0.275639819"
