"","Fold Change","log2(FC)"
"1132.4568_48.1",0.15658,-2.675
"189.4881_197.9",0.15678,-2.6732
"582.6471_55.5",0.15719,-2.6694
"477.963_98",6.3401,2.6645
"251.1503_37.5",6.3329,2.6629
"247.111_36.5",6.3288,2.6619
"564.9714_66.3",6.2361,2.6406
"197.1285_23.7",6.2324,2.6398
"704.9621_58.9",6.2279,2.6388
"224.119_123.4",0.16147,-2.6306
"615.4089_29.9",0.16173,-2.6283
"355.046_76.4",6.1677,2.6247
"164.1168_68",6.1001,2.6088
"540.4263_24.9",6.076,2.6031
"593.4791_25.3",6.068,2.6012
"385.9109_70.1",6.0072,2.5867
"235.1189_44.5",5.9942,2.5836
"157.0608_77",5.9847,2.5813
"689.89_98.5",5.8913,2.5586
"226.0032_169.7",5.8509,2.5486
"885.5488_40.5",0.17231,-2.5369
"154.0578_131.8",5.8011,2.5363
"244.1657_99.5",5.7282,2.5181
"135.0634_19.3",0.17507,-2.514
"441.9245_73.7",0.17554,-2.5101
"690.508_30.9",5.6602,2.5009
"203.6276_263.7",0.17745,-2.4945
"734.5591_43.1",5.6272,2.4924
"334.1798_33.2",0.17777,-2.4919
"371.1134_107",5.6037,2.4864
"345.2247_93.9",0.17863,-2.485
"244.6628_85.6",0.17992,-2.4745
"392.8613_46.3",0.17994,-2.4744
"623.3156_25.6",0.18107,-2.4654
"367.1395_125.6",5.4848,2.4555
"640.215_107.8",0.18313,-2.449
"370.9947_70.9",5.4362,2.4426
"182.1031_125.7",0.18494,-2.4349
"432.9521_89.2",0.18497,-2.4346
"366.8615_84.7",0.18725,-2.417
"921.8242_83.1",5.3323,2.4148
"164.0921_35.4",5.3042,2.4071
"190.138_97.4",5.2999,2.406
"161.1366_38.8",5.2892,2.403
"236.0918_31.3",5.2829,2.4013
"480.7053_64.4",0.18947,-2.4
"443.9219_62.4",0.18951,-2.3996
"319.9201_70.1",5.2633,2.396
"188.1758_89.4",5.2443,2.3908
"561.0582_92.5",0.19119,-2.3869
"113.0527_126.1",5.2277,2.3862
"338.2406_26.4",0.19157,-2.3841
