"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"215.016_86.1",0.010761,0.033733,0.0039109,-0.0049088,0.01297,0.012513,-0.045156,0.024232
"215.0421_147.6",-0.017786,0.027645,-0.010173,-0.011419,-0.0050865,-0.013628,0.00229,0.033307
"215.0484_32.8",-0.0097604,-0.018079,0.017607,0.020119,0.010856,-0.0086655,0.0093195,-0.012676
"215.0546_228",-0.026711,0.029083,-0.020108,0.0057587,-0.01746,0.00099803,0.0032516,0.0057899
"215.07_31.1",-0.0039464,-0.0040213,-0.0045305,0.0083743,-0.0006501,-0.020597,-0.00028273,0.0092414
"215.0894_126.6",-0.013554,0.013232,0.0032368,0.00085315,0.049779,-0.011588,-0.01669,0.0056913
"215.1391_40.9",-0.033105,-0.016937,-0.027053,0.0018782,-0.01078,0.0055777,-0.0062907,-0.0071154
"215.4357_173",0.011984,-0.0093369,0.0073784,0.025698,-0.024883,-0.033127,0.019334,-0.0009732
"215.5507_226.9",-0.027427,0.028329,-0.022057,0.0032399,-0.011235,-0.0029916,0.0034189,0.0041567
"215.5552_226.6",-0.018877,0.018018,-0.019472,-0.006633,0.0049559,-0.01162,0.0028302,0.014951
"215.6476_269.4",0.0072123,-0.00088095,-0.01748,0.014542,0.0016647,0.047023,0.0012256,0.009342
"216.0195_100.3",-0.027298,0.02652,0.0068089,0.0078994,-0.018915,0.028653,-0.014912,0.0033947
"216.0526_222.4",-0.022577,0.02129,-0.027091,-0.0082017,0.014453,-0.021109,-0.0015144,0.016113
"216.0633_99.7",-0.033238,0.030863,0.004956,-0.013948,-0.0052998,0.0054624,-0.013337,0.010909
"216.0848_139.3",-0.0085845,-0.027171,0.021335,0.041181,-0.020935,0.00015918,-0.006909,0.0048052
"216.1341_104.6",0.0092843,-0.010179,-0.020447,0.01603,-0.027811,-0.012145,-0.0052766,0.0042597
"216.14_289.2",0.034352,0.0095031,-0.021673,-0.001218,0.014715,0.019858,0.0072748,-0.016446
"216.4547_268.5",0.022402,-0.012576,0.0082768,0.028812,-0.019551,-0.028735,-0.0017447,0.012377
"216.5488_222.9",-0.00057779,0.021591,0.0093349,0.016357,-0.020694,0.0082742,-0.0044382,0.009002
"216.6375_283.2",0.023246,0.0047965,-0.01485,0.018206,0.025234,0.001574,-0.00764,-0.025094
"216.6445_95.5",0.029866,-0.0018983,-0.0096854,0.027251,-0.020636,-0.00039385,-0.0018699,0.015646
"216.9849_83.5",-0.011951,0.017555,0.0070182,0.0098445,-0.019588,0.043803,-0.02913,0.0011799
"217.0666_99.7",-0.031774,0.018868,0.014488,-0.016938,-0.020681,0.003189,-0.00016799,0.005136
"217.1054_279.2",0.017119,-0.016773,0.035378,-0.018769,0.0034524,-0.0097088,-0.0098132,0.007646
"217.1185_73.4",-0.029959,0.00022458,-0.024997,0.0016652,-0.023687,0.024874,-0.0019463,-0.00076804
"217.1296_72.2",-0.023505,0.010856,-0.008583,0.012395,-0.030471,0.041321,-0.016582,0.00078989
"217.1435_28.7",-0.0087063,-0.026311,0.022855,0.024502,0.0003231,-0.0082188,0.011439,-0.013247
"217.1548_27.8",0.030833,0.0088438,-0.031042,0.015227,-0.014139,0.0066636,-0.0021075,0.00076632
"217.4442_212.1",-0.0071182,-0.022009,0.026461,0.012275,0.0034689,0.006263,-0.00023339,-0.013711
"217.5724_102.5",-0.013313,-0.024733,0.021652,0.034677,-0.013353,-0.00058165,0.0094727,0.020229
"217.9803_70",-0.023481,0.02033,-0.01178,0.0090817,-0.010336,0.046401,-0.021817,-0.0084321
"218.0671_99",-0.026383,0.01851,0.015703,0.016962,-0.018101,0.0068177,0.0075333,-0.023724
"218.0788_30.5",-0.030295,0.013463,0.014449,0.0026672,-0.028663,-0.0033225,0.019662,-0.019786
"218.1135_93.2",-0.018142,0.033009,-0.02504,0.008615,0.0096718,-0.008868,0.015809,-0.0015937
"218.1387_34.3",-0.026305,0.010559,0.0010154,-0.0015626,0.023793,-0.0084499,0.024386,-0.0046953
"218.1499_103.6",0.017764,0.0092927,-0.038847,0.020054,-0.019361,0.0042263,-0.0080385,0.0052922
"218.1577_30.4",0.031453,0.01165,-0.030354,0.01527,-0.010149,0.0047486,-0.001609,-0.0023322
"219.0266_60",-0.0038811,0.028433,0.013362,-0.011998,0.035067,-0.0098352,-0.0060383,-0.0061802
"219.0714_70.8",0.030335,0.0055977,-0.020948,-0.015527,-0.0058072,-0.0091891,0.0035302,0.028548
"219.0828_104.9",0.0020505,0.0043276,0.017932,-0.0064906,0.025546,-0.034408,0.012985,-0.036157
"219.0976_82.4",-0.012265,-0.024839,0.014881,-0.012371,-0.010846,-0.0028674,0.0024936,-0.023264
"219.134_47.8",0.0242,0.011407,-0.033659,0.013835,-0.014153,0.0044362,-0.010542,0.0055373
"219.1533_104.9",0.025413,-0.0049424,0.0023755,0.01813,-0.01864,-0.0040244,0.003509,-0.036798
"219.4972_229.6",-0.019779,0.023198,-0.019348,-0.0013537,-0.02098,-0.0022237,0.0073636,0.014107
"219.6393_277.1",0.02799,0.0017162,-0.023703,0.021028,-0.0053864,-0.010628,-0.010885,0.00083745
"220.0089_56.8",0.0064043,-0.0049059,0.010245,-0.030495,-0.0057244,0.0055891,0.03006,-0.032191
"220.03_60.6",-0.0043332,-0.0066805,-0.006157,-0.034201,0.021417,-0.015356,0.014385,-0.022317
"220.0371_52.2",-0.004832,-0.00041451,-0.0040931,-0.037713,0.016343,-0.018054,0.019594,-0.022789
"220.0694_71",-0.032485,0.027018,-0.019968,0.00085284,-0.00017703,0.0075393,-0.0086199,0.011815
"220.0927_94.1",-0.0047138,0.0127,-0.012049,0.010239,-0.032968,0.029463,-0.0054256,0.011572
"220.1181_30.1",-0.031272,0.0067222,-0.032166,0.012609,-0.0053278,0.0087023,-0.0015693,-0.011894
"220.1371_68",0.021319,0.0054415,-0.02066,-0.0036194,-0.021253,0.017269,-0.027301,-0.0030828
"220.6216_286.1",0.028746,0.012019,-0.022676,0.006416,0.012605,-0.010694,-0.016924,-0.023394
"220.8578_62.8",-0.011879,-0.0052507,0.023561,0.00063917,0.006675,0.028377,-0.020529,-0.012456
"220.8909_18.9",0.0072151,-0.031609,0.010042,0.023294,-0.011984,-0.01173,-0.014949,0.0090708
"221.0249_60.5",-0.020342,0.016696,0.011519,-0.028101,0.019414,-0.030245,0.0057513,-0.010428
"221.0955_39.3",0.031158,0.0010004,-0.012373,-0.011149,-0.0075896,-0.0020056,-0.015564,-0.01432
"221.1214_32.7",-0.027915,-0.0018987,-0.022185,0.02491,-0.0053651,-0.0071393,0.017724,-0.032039
"221.1698_34.8",0.0080948,-0.032698,0.024705,0.012338,0.0058484,-0.00091972,-0.025037,0.021056
"221.2264_25",0.01958,0.001611,0.01405,-0.023694,-0.012876,-0.0092033,-0.022133,-0.010686
"221.9881_72.6",0.013781,-0.0020785,0.0019656,-0.04126,0.024382,0.023904,0.025033,0.010948
"222.014_72.5",-0.020343,0.017191,-0.029327,-0.011233,0.019859,-0.0265,-0.0033697,0.015642
"222.0292_125.6",-0.026983,0.0061484,-0.0034912,0.024077,-0.019451,0.01627,0.012275,-0.034839
"222.6555_249.8",0.0062558,-0.009448,0.0025741,0.022133,0.019759,-0.021551,0.024121,-0.034111
"222.6626_94.7",0.033917,-0.0014025,-0.0097972,0.025169,-0.0050978,-0.021844,-0.006791,0.0085361
"222.9404_45.2",-0.0074169,-0.018042,0.022057,-0.030904,0.025215,-0.00062236,0.021285,0.015756
"223.0395_174.8",-0.0071289,0.021065,-0.019954,0.042104,-0.020005,0.0018414,0.026393,-0.00045993
"223.0748_176.5",-0.023012,0.030563,-0.028538,0.0096924,-0.0049713,0.0055899,-0.0030544,0.0069049
"223.1078_39.8",0.01908,0.018514,-0.033715,0.011757,-0.011764,0.0019295,-0.019651,0.0039321
"223.9632_250.1",0.0091563,-0.020139,0.024157,-0.032911,-0.0071211,-0.0088996,0.014684,0.027451
"223.9722_75.4",-0.025505,-0.0057099,-0.0063781,0.027516,-0.019327,0.010186,0.015014,-0.0401
"224.0716_176.3",-0.022006,0.023289,-0.0067185,0.0084854,-0.034491,0.010996,0.0020306,0.0098695
"224.0781_175.9",-0.025324,0.029652,-0.025371,0.0095879,0.0014924,-0.0057729,0.00022975,0.004154
"224.119_123.4",0.018642,0.0060778,-0.0077926,0.022234,-0.0089311,-0.013037,0.041317,-0.030387
"224.4434_259.6",0.012326,-0.018537,0.0087,0.020316,-0.016988,-0.0079833,0.021544,-0.0061949
"224.6418_105.3",0.01368,0.0081547,-0.016295,0.028994,-0.036572,0.0056672,-0.01177,0.011068
"224.8254_203.6",0.0016529,0.013796,0.025218,0.0034336,-0.013682,-0.01269,0.00078658,0.0048277
"225.0159_238.3",-0.026189,0.030164,-0.022161,0.001765,-0.0023843,0.0011636,-0.0027665,0.023999
"225.0346_63.6",0.0023843,0.010402,0.0001947,-0.0262,0.027967,-0.017449,0.024414,-0.01561
"225.0705_176.2",-0.023414,0.020465,-0.023226,0.011715,-0.018366,0.034737,-0.01778,0.0014566
"225.079_174.5",-0.022737,0.026671,0.011641,0.021233,-0.021557,0.0016474,0.017355,-0.02703
"225.5377_221.5",-0.024367,0.0064348,-0.016492,-0.0066132,0.0047621,-0.03515,0.021554,0.0050114
"225.9699_49.6",-0.0028047,0.0081689,-0.018216,0.0071201,-0.026902,0.036239,0.0030137,0.0023019
"226.0032_169.7",0.0017726,0.0067739,-0.00027419,-0.040946,0.012196,-0.031149,0.00017109,-0.019
"226.024_43.8",0.0018977,0.012342,0.01456,0.022001,-0.009543,0.028982,-0.0047561,-0.0030624
"226.0451_58.2",0.011483,0.016248,-0.020999,-0.0069986,0.033716,0.010224,-0.011728,-0.012163
"226.0525_60.6",0.018008,-0.020747,-0.002665,-0.0068679,-0.021274,-0.018087,-0.0070766,0.0046432
"226.0687_24.6",-0.0025498,-0.034532,-0.0017918,0.015766,-0.001861,-0.0051882,-0.038911,0.019002
"226.0798_87",0.0022507,0.0077598,-0.022914,-0.0036193,-0.025757,0.0092728,-0.033934,0.00083281
"226.4492_214.4",-0.0054113,-0.019114,0.017236,-0.0038247,0.0021343,0.01812,-0.034536,0.033472
"226.5502_140.2",-0.018683,0.01274,-0.0087637,-0.01247,-0.0097195,0.039592,0.00081725,-0.0015928
"226.8781_39",0.00437,0.0015674,0.0017581,-0.049665,-0.0068392,-0.020203,0.010396,-0.0034637
"226.9005_65.7",0.0014349,-0.032794,0.010425,-0.0003439,0.018672,0.0060659,-0.023374,0.010198
"227.079_45.6",0.012924,0.01383,-0.018983,0.017489,0.015131,0.010221,0.020197,0.022703
"227.1026_40.2",-0.0098207,-0.024688,-0.019765,0.019173,-0.012879,0.013528,-0.019744,-4.6116e-05
"227.1139_101.1",0.022604,0.014413,-0.038679,0.0071029,-0.0039892,-0.0012724,0.0026682,-0.0031146
"227.5273_133.5",-0.027088,0.019122,0.00050454,-0.0014568,-0.032979,0.018178,-0.012349,0.015636
"228.0219_68.2",-0.016384,0.0032117,-0.016384,-0.026922,-0.013604,0.028036,-0.002995,-2.5226e-05
"228.0454_61.6",0.02347,-0.022183,0.0046593,-0.017537,0.018774,-0.0015355,-0.0041885,-0.010533
"228.1173_99.3",-0.032385,0.0022043,-0.0072299,0.0059602,0.00045126,0.016184,-0.012178,0.00093533
"228.1344_34.2",0.008934,-0.0032471,-0.026213,0.017552,-0.022107,0.0013248,0.018732,-0.0042286
"228.1708_96.1",0.026111,0.0098008,-0.018762,0.030866,-0.019374,-0.018803,-0.010001,0.0012603
"228.9523_47.2",-0.023429,-0.02403,-0.030735,-0.0068833,0.0060454,0.0028614,0.0023771,-0.0045127
"229.1006_29.8",0.0016029,-0.045461,-0.0091726,0.022227,-0.003491,-0.00053466,0.010828,-0.018587
"229.1182_47.8",-0.0042564,0.0059344,-0.031277,0.017891,-0.023073,0.029042,-0.0057388,0.0057548
"229.1548_42.5",-0.034707,-0.020904,-0.024445,-0.0060345,-0.002819,0.0034722,-0.0074774,0.001147
"229.6398_83.5",0.013744,0.00017215,0.0089422,-0.032622,0.014915,-0.014496,0.0051603,-0.033899
"229.6577_92.7",0.023555,-0.011424,-0.0035821,0.014221,-0.028869,0.01104,0.021867,0.019062
"229.9803_75.6",-0.017646,0.019168,0.0097248,-0.02574,0.015839,-0.032856,0.007326,-0.014327
"230.0789_94.3",-0.019649,0.0001729,0.0090123,0.0045247,-0.014569,0.020821,0.027879,-0.01932
"230.1245_115.2",-0.0016103,0.0035276,-0.014036,0.01526,-0.025844,-0.03181,0.0090106,0.007081
"230.1501_103.9",0.029086,0.0054105,-0.011362,0.014038,-0.011368,0.0028452,-0.0066746,0.023584
"230.1581_50.1",-0.027072,-0.029285,-0.012248,-0.0089265,-0.0098701,0.001106,0.006848,0.0078252
"230.1864_47.6",0.002753,-0.011486,-0.028594,0.024913,-0.015505,0.0076063,-0.032695,-0.0019042
"230.2115_27.2",0.0099349,0.0016528,0.030583,0.00061251,-0.015812,-0.014756,0.020547,0.020258
"230.539_191.8",0.0057351,-0.01065,-0.0058501,0.018295,-0.017774,0.0067897,0.011006,0.015022
"230.6601_93.6",0.033271,-0.0069475,-0.010321,0.017442,-0.017975,-0.029022,-0.010802,0.00086554
"230.9505_44.9",-0.0053962,-0.02563,-0.0080383,-0.01173,0.015917,0.010054,0.015575,-0.0061985
"230.9902_52.9",0.0020019,0.026306,-0.00062045,0.022588,-0.029341,0.018393,-0.040307,0.02601
"231.0282_216.4",0.015399,0.019061,-0.017194,-0.007231,0.0034518,0.011294,0.0071543,-0.030365
"231.0356_102.4",-0.0021847,-0.025971,0.015058,0.0074753,0.010761,0.022249,-0.047556,0.0097947
"231.0436_39.2",0.002274,0.013763,0.0022574,-0.014741,0.013897,-0.0099775,-0.012071,-0.0021603
"231.0985_57.9",-0.017614,-0.030049,0.0045834,-0.0038115,-0.00094788,0.0095339,-0.0089881,-0.00079511
"231.1269_128.3",0.025704,0.00080027,-0.014532,0.009906,-0.023016,-0.010818,-0.010013,0.02227
"231.1339_29.5",-0.0071204,-0.031565,0.007821,0.027659,0.0023411,0.0070157,3.4302e-06,-0.02237
"231.1678_30.1",0.016902,0.0091533,0.01045,0.02352,-0.02048,-0.0082619,-0.0085741,0.019393
"231.1704_32.2",0.033684,0.0074699,-0.028286,0.015839,-0.01263,0.005316,-0.0023156,-0.0014744
"231.1897_44.2",-0.0066349,-0.03961,-0.003286,0.039329,-0.0095057,0.0010891,-0.0035474,-0.0087865
"231.5116_155.1",-0.00046953,0.0063969,-0.023939,0.017102,-0.017449,0.006862,-0.0061389,-0.0030309
"231.6373_105.4",0.014799,0.010135,-0.019446,0.0034395,0.0045021,-0.010489,-0.019585,-0.040349
"231.9936_45.2",0.01738,0.0064205,-0.00039124,-0.045954,0.028373,0.0018786,0.0046344,-0.0013942
"232.017_73.7",0.0031811,0.0067412,0.0027387,-0.038792,0.029673,-0.0050609,0.040124,0.0030325
"232.129_84.2",0.024617,0.013384,-0.01718,0.0073774,-0.0018093,0.010218,-0.0095921,-0.017517
"232.1403_107.2",0.0085798,0.017389,-0.042587,0.012695,-0.0063663,-1.8416e-05,-0.010075,0.009711
"232.1543_25.2",0.0034702,-0.011535,-0.0012102,-0.042257,0.0061831,-0.009029,0.033668,-0.027142
"232.1697_19.4",0.011146,0.0089516,-0.015803,-0.0074145,0.046687,0.0094936,0.033567,-0.012267
"232.1732_29.5",0.034123,0.007014,-0.027522,0.016906,-0.012023,0.0038778,-0.00032397,-0.0025892
"232.8055_56.9",0.0033672,-0.015018,1.2592e-05,0.017561,-0.0062043,-0.0092467,0.027519,-0.023774
"232.9889_47",0.01228,0.022254,0.0014394,0.029174,-0.032203,0.0060164,-0.036209,0.031246
"233.0587_221.4",-0.018862,0.029046,-0.014895,0.016978,-0.0054402,-0.0058032,0.013595,-0.0054161
"233.0872_69.1",0.016473,0.00065196,-0.018398,-0.03005,0.0060188,0.0028753,0.014228,-0.018717
"233.1133_69.4",-0.015624,0.012043,-0.032183,-0.0097801,0.015235,-0.023247,-0.0070889,0.025046
"233.1437_109",0.020517,0.01268,-0.018923,-0.018459,0.029697,0.0094289,0.00034976,-0.0084574
"233.1496_41.3",0.028143,0.010624,-0.033007,0.014711,-0.012318,0.0056595,-0.0015852,0.0017003
"233.5262_225.4",-0.028148,0.032261,-0.015001,0.0076139,-0.00042343,-0.013934,0.0029667,-0.00025324
"233.5264_141.5",-0.0046821,-0.015761,0.0048638,0.02192,-0.010199,0.0075208,0.017971,0.019622
"233.6423_270.1",0.02671,0.004499,-0.019759,0.022327,-0.01099,0.014284,0.011344,0.0076543
"233.9543_70.4",-0.028583,0.0098247,-0.0022067,-0.0020575,-0.027896,0.025396,-0.0080068,-0.023975
"234.0012_181.2",-0.027753,-0.0027787,-0.0019151,0.016425,0.0068817,-0.0077642,0.019909,-0.030595
"234.0281_223.7",-0.025331,0.0069143,-0.0027685,0.026097,-0.015537,0.0062269,0.016788,-0.046034
"234.1085_91.8",0.0040837,0.015255,-0.034486,0.009842,0.018597,-0.014337,-0.015019,-0.0025127
"234.1448_123.4",0.0085193,0.017782,-0.041539,0.010743,-0.011515,0.0007785,-0.01477,0.0068675
"234.153_40.2",0.027819,0.014568,-0.032118,0.02129,-0.0052535,0.0034183,0.0053137,-0.0025942
"234.543_223.7",-0.012193,0.0017953,-0.01274,0.0053047,0.0035298,-0.031144,0.029341,-0.014214
"234.5476_172.7",0.0046954,0.017228,-0.01261,0.0046834,0.034784,0.0042412,0.045779,-0.011482
"234.9631_45.7",-0.031047,0.019989,0.0098875,-0.02905,0.0013755,-0.010483,-0.016566,0.017352
"235.0568_101.7",0.0049738,0.0081227,0.0044025,0.017801,-0.021585,0.0069917,-0.049367,0.00016993
"235.0663_222.5",-0.020497,0.028244,0.0022615,0.025033,-0.018461,-0.0051866,0.01366,-0.0051548
"235.0923_269.5",0.014691,-0.011196,-0.0055537,-0.038115,0.031363,-0.011637,0.010722,-0.011798
"235.1112_36.2",0.010276,0.0081489,-0.012192,0.0044855,0.013895,0.0028407,0.013957,-0.002376
"235.1189_44.5",-0.007216,-0.027544,-0.019191,0.029624,0.0017948,0.015332,0.0033035,-0.022246
"235.1482_126.4",0.029181,-0.0077111,0.0082267,0.014692,0.0017757,-0.019676,0.0076865,-0.015711
"235.1654_61.4",-0.017124,0.0080201,0.0013059,-0.00069554,-0.037491,0.02659,-0.0040089,0.021541
"235.5677_223.4",-0.00045368,0.009817,0.0083484,0.010189,-0.044046,-0.004518,0.014742,0.030535
"235.9207_75.1",0.018416,-0.018371,0.017947,-0.028952,0.014202,-0.0071467,0.028842,-0.023457
"235.9507_258.8",0.0022696,-0.013117,0.018862,0.017415,-0.0040276,0.017626,0.016187,-0.00032828
"235.9664_45.6",-0.0090546,-0.00088427,0.026601,-0.025758,0.000361,-0.036422,0.01332,-0.0051103
"236.041_79.8",-0.0070963,-0.019514,-0.0015606,-0.025971,0.0014963,-0.040593,0.022157,-0.0015516
"236.0433_76.1",-0.03343,0.027279,-0.019273,0.0025601,-0.003589,0.0011378,-0.0038305,0.010194
"236.0918_31.3",-0.030649,0.0036288,0.001373,0.014512,-0.025214,0.0089654,0.01945,-0.033937
"236.1204_28.9",0.010254,-0.038405,-0.0025157,-0.016728,0.01718,-0.0081796,-0.035035,-0.015553
"236.9411_139.1",0.018822,-0.033323,0.02571,0.010171,-0.01136,-0.010062,0.0059265,0.0094617
"236.9612_45.7",-0.024055,0.021583,0.022838,-0.025939,-0.0034612,-0.010502,-0.020114,0.0091443
"236.9981_71.7",0.00078231,0.036432,-0.0041476,0.0075031,-0.0016841,0.0044817,-0.039909,0.021979
"237.016_188.4",0.0042246,0.0053419,0.012275,0.0018716,-0.0083406,0.0074573,0.042763,0.0066813
"237.0362_221.9",-0.017723,0.023449,-0.02697,0.0106,-1.1581e-05,-0.015986,-0.00042423,0.018895
"237.0465_77.1",-0.023001,0.029893,-0.018222,0.0049165,0.033811,-0.0043178,-0.012253,-0.0037628
"237.1234_36.5",0.017297,0.010845,-0.019445,-0.0062843,0.0001616,0.023898,-0.012544,-0.0057554
"237.6554_94.3",0.01893,-0.0058606,-0.0076032,0.012925,-0.02034,0.017199,0.021112,0.0055888
"237.9418_142.3",0.014347,-0.0272,0.032359,0.010121,-0.00066731,-0.010048,0.010352,-0.014077
"237.962_72.9",-0.00092298,0.0023057,0.0054723,-0.0043257,-0.0054651,0.043461,0.0093746,0.0108
"238.0094_259.3",0.016032,-0.015787,-0.011847,-0.042451,0.0057551,-0.0092072,0.033434,-0.017079
"238.0443_96.1",-0.03387,0.030796,0.0047501,-0.0040901,-0.01236,0.0088756,-0.013532,0.0099883
"238.1074_27.7",-0.030664,-0.007202,-0.0022387,-0.0061392,-0.021334,0.021974,0.00545,-0.017347
"238.1473_105.3",0.033352,-0.0014252,-0.015031,0.023154,-0.029451,0.0045097,0.0064697,0.0047403
"238.6449_102.5",0.0076621,-0.013787,-0.0045794,-0.0080658,-0.0036519,0.030696,-0.0054362,-0.0040728
"239.0138_74.2",-0.0012925,0.0054766,0.008672,-0.025081,0.031926,-0.0057384,0.054002,-0.0086339
"239.0485_98.8",-0.030155,0.02529,0.024287,-0.0069416,-0.00045913,-0.01701,0.0042075,-0.0033494
"239.0696_269.1",-0.024416,0.013348,0.028989,0.0061223,0.015745,-0.027227,0.01372,-0.004464
"239.1366_30.2",0.031564,0.016585,-0.0050123,0.01615,-0.0083088,-0.0010871,-0.012987,-0.0031243
"239.1643_20.9",0.0039241,-0.039423,0.012183,0.014616,-0.0018001,-0.0055152,0.028129,-0.0074431
"239.9588_74.6",-0.0052819,-0.019983,0.021562,0.0033006,0.0017359,0.027395,-0.00071987,-0.024028
"240.0493_98.5",-0.030171,0.021699,0.015833,0.014707,-0.012745,-0.0045851,0.01522,-0.022894
"240.1316_105",0.019264,0.001528,-0.014536,0.029739,-0.019548,0.029091,-0.0034093,-0.0077306
"241.0086_61.8",-0.0010763,0.011543,0.003441,-0.016812,0.037277,-0.0095027,0.043932,0.010246
"241.0308_194.9",-0.012541,0.013834,-0.021278,-0.006331,0.02616,-0.02026,0.0040888,0.0039703
"241.1547_66.2",-0.029918,0.0081639,0.018255,-0.0080533,-0.004105,-0.004299,0.0050244,0.011568
"241.1798_28.3",-0.023504,0.0037275,0.015149,0.027148,-0.004065,0.0016869,0.012213,-0.031086
"241.9978_44.9",-0.0061308,0.021253,-0.028551,-0.021808,0.00028317,0.0058894,-0.0090205,0.026074
"242.0052_131.5",-0.032306,0.015666,-0.011968,0.00036409,-0.024865,0.02656,-0.013463,-0.0055904
"242.019_59",-0.0026261,0.018772,-0.01502,-0.0027258,0.035872,-0.021385,0.014616,-0.0020234
"242.0345_192.8",0.0077051,0.000813,0.020618,0.015319,-0.0045228,0.0021209,0.00041309,0.012682
"242.0513_68.6",-0.03054,0.029589,-0.011912,-0.0049807,0.0023575,0.015069,-0.0097652,0.021777
"242.0747_96.2",0.015822,0.0050901,-0.022976,-0.012139,0.01571,0.011089,0.029557,0.022823
"242.0997_32.4",-0.025392,0.012527,-0.025411,0.0095946,-0.018537,0.021308,0.00042727,0.0038092
"242.1499_35.7",0.019781,0.002486,-0.026298,0.034563,-0.022846,-0.010033,-0.012894,0.0049028
"242.5095_173.9",-0.015045,0.017552,-0.028688,0.01101,-0.016086,0.023945,-0.0015771,0.016947
"242.5619_168.3",-0.018184,0.016438,-0.016017,0.025841,-0.016495,0.028129,-0.006221,-0.015061
"243.0012_46.5",0.0078878,0.010658,-0.011446,-0.01787,0.029366,-0.027382,-0.038964,-0.0371
"243.0266_281.2",-0.01295,0.029507,-0.012721,0.0013583,0.046973,-0.013943,-0.01208,-0.003482
"243.0531_44.8",0.00042955,0.01237,-0.013428,-0.030366,0.028266,0.014949,0.029516,0.006399
"243.1018_35.6",-0.018798,0.0099261,-0.024994,0.021281,-0.019342,0.025403,-0.0034906,-0.019664
"243.1089_124.2",0.0056302,0.024403,-0.03762,0.013848,-0.010499,0.0084572,-0.016885,0.00013456
"243.1339_33.1",0.017963,0.0083783,-0.036691,0.018036,-0.0012003,0.0058516,-0.018398,0.009527
"243.183_54",-0.0092946,-0.01321,0.023486,0.021651,-0.00063811,-0.012206,0.024458,-0.029491
"243.9958_49.7",-0.0097309,0.019045,-0.027846,-0.025958,0.00035343,0.012556,-0.013446,0.00068033
"244.0302_193.2",-0.019053,0.029592,-0.0046796,0.0152,0.0079511,-0.016203,-0.015837,0.015195
"244.0564_45.9",0.023812,0.0045983,-0.016698,-0.01313,0.036847,0.01187,0.015552,-0.021724
"244.1122_124.9",0.0041721,0.010877,-0.021606,0.018837,-0.012453,0.0043663,-0.022972,0.010635
"244.1293_123.7",0.011025,-0.0012093,-0.0079176,0.021722,0.0048782,-0.038825,-0.0048943,-0.011639
"244.1544_24.5",0.0091853,-0.030377,0.0052227,0.0025112,-0.017541,0.0062234,0.020759,-0.017625
"244.1657_99.5",-0.023528,-0.015592,-0.027085,0.000249,-0.020387,0.020655,-0.0026891,0.0095854
"244.1805_38.6",-0.010841,0.0023652,0.019057,0.017658,-0.023639,-0.0023095,0.0033766,0.015659
"244.2021_32.9",-0.018492,-0.0096942,-0.0021548,0.0098997,0.004376,0.011884,-0.0060327,0.00095959
"244.2273_25.3",0.030325,-0.0075959,0.0012666,-0.037394,-0.0023264,0.011582,0.010877,-0.0071895
"244.6628_85.6",0.028352,0.016023,-0.017586,-0.013999,0.033296,0.0059246,0.0085426,-0.019719
"245.0489_67.5",-0.027401,0.017776,0.012281,-0.0074249,-0.012903,-0.00071161,0.023802,-0.01573
"245.0609_293.4",-0.029137,0.027707,-0.0041689,0.004492,-0.0058205,-0.017917,0.022768,-0.001793
"245.0895_112",-0.018295,0.015352,-0.019247,0.030176,-0.022997,0.011086,0.017629,0.018653
"245.1286_28.9",0.0060001,-0.033153,-0.014312,-0.025536,0.0052081,-0.0087872,0.010185,-0.013019
"245.1688_104",-0.027143,-0.038119,0.0049872,0.013372,-0.0010448,0.0039546,0.0019605,-0.011018
"245.1861_29.7",0.035967,0.008519,-0.025721,0.010405,-0.0096172,0.0056092,-0.00047786,-0.0030899
"245.5624_294.2",-0.028099,0.018211,0.0071972,0.018144,-0.0081104,-0.0074412,0.019637,-0.032461
"245.9494_74.4",-0.0045551,-0.01637,0.017096,0.020884,-0.01498,0.01448,-0.011937,-0.016544
"246.1281_41.2",0.0068559,-0.029166,0.022488,0.024679,-0.0030359,-0.017467,0.017341,0.0024787
"246.1445_52.7",0.019039,0.017032,-0.036528,0.011357,-0.0068581,0.005946,-0.020065,-0.002039
"246.1561_101.2",0.025191,0.011405,-0.034002,0.018444,-0.015674,0.0070547,-0.0097049,0.0018601
"246.17_26.7",0.0013857,-0.0075585,-0.01208,-0.032665,-0.0035208,-0.015514,0.043492,-0.038636
"246.1813_91.3",0.017754,0.0028947,-0.042266,0.017078,-0.0084229,0.0061488,-0.010174,0.00745
"246.1832_30.6",0.011261,8.086e-06,-0.011533,0.038375,-0.017392,0.0060491,0.014576,-0.037571
"246.1892_30",0.033149,0.0093901,-0.029677,0.013743,-0.010728,0.0033838,-3.9669e-05,0.00051942
"246.9548_131.2",0.011966,-0.014736,-0.008725,-0.02583,-0.0095644,-0.016717,0.010683,-0.036587
"247.1035_95.9",-0.01412,0.018733,-0.029314,-0.0082543,0.018612,-0.024848,-0.0080191,0.025394
"247.111_36.5",-0.026426,-0.012348,-0.010402,0.01996,-0.013766,0.0073525,0.0054097,-0.023445
"247.129_58.7",-0.01111,0.014378,-0.028564,0.0049465,-0.019078,0.028199,-0.015498,0.015594
"247.1544_27.7",0.0012876,0.00090358,0.010066,-0.0055978,-0.043133,0.010925,0.0060069,-0.0028757
